game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
fa016d9f-7dc7-4f63-84f6-1886e7dcafe0,1,Live Chess,Chess.com,2024.05.04,-,Ruhul_Islam_96,FirejFox,1-0,1899,,1827,,,,Ruhul_Islam_96,1899,FirejFox,1827,72,,Ruhul_Islam_96 wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
46c9d179-3811-4195-80f1-f14bfa7d7347,2,Live Chess,Chess.com,2024.05.04,-,Gikappa,FirejFox,1-0,1862,,1820,,,,Gikappa,1862,FirejFox,1820,42,,Gikappa wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
ca19e10f-9632-4f12-998c-4d15a735ceea,3,Live Chess,Chess.com,2024.05.04,-,FirejFox,mexandzre,0-1,1814,,1923,,,,mexandzre,1923,FirejFox,1814,109,,mexandzre wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
802d75d3-175a-4b25-ae0a-6ae7a04a1bce,4,Live Chess,Chess.com,2024.05.04,-,FirejFox,rossplayer,0-1,1805,,1800,,,,rossplayer,1800,FirejFox,1805,-5,,rossplayer wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
0dc8229d-3f04-427e-84c7-e2c095be1b29,5,Live Chess,Chess.com,2024.05.04,-,FirejFox,DPIndi,0-1,1796,,1781,,,,DPIndi,1781,FirejFox,1796,-15,,DPIndi wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
661c72b9-9dec-40b2-84d1-7196a1f08dd4,6,Live Chess,Chess.com,2024.05.04,-,Jirka510,FirejFox,1-0,1707,,1786,,,,Jirka510,1707,FirejFox,1786,-79,,Jirka510 wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
15c06cc8-c48c-47c8-b8f6-6bf104ed35ae,7,Live Chess,Chess.com,2024.05.04,-,FirejFox,slajda_1,0-1,1778,,1811,,,,slajda_1,1811,FirejFox,1778,33,,slajda_1 wygrał na czas,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
9fcbb433-88bc-46f9-af07-378ccac15082,8,Live Chess,Chess.com,2024.05.05,-,bartnr11,FirejFox,1-0,1804,,1770,,,,bartnr11,1804,FirejFox,1770,34,,bartnr11 wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
af1699c2-5652-400b-9d71-dfd65eb7c798,9,Live Chess,Chess.com,2024.05.05,-,FirejFox,harryking4,1-0,1778,,1754,,,,FirejFox,1778,harryking4,1754,24,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
5414c863-27cc-4cd8-9d32-f1bd65d70c0a,10,Live Chess,Chess.com,2024.05.05,-,abdipergega,FirejFox,1-0,1829,,1771,,,,abdipergega,1829,FirejFox,1771,58,,abdipergega wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
f57c95d5-fdde-4bfc-9162-d71e518957b3,11,Live Chess,Chess.com,2024.05.10,-,chuzzz76,FirejFox,0-1,1764,,1779,,,,FirejFox,1779,chuzzz76,1764,15,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
389db7bd-005a-49a4-9585-316a987fcb6a,12,Live Chess,Chess.com,2024.05.10,-,FirejFox,KSI2105,1-0,1787,,1764,,,,FirejFox,1787,KSI2105,1764,23,,FirejFox wygrał na czas,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
151dcacd-f09b-4b7d-8d1e-1d6cc3cfdb9a,13,Live Chess,Chess.com,2024.05.10,-,wenivive,FirejFox,1/2-1/2,1822,,1788,,,,draw,,draw,,0,,Remis przez powtórzenie pozycji,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
6792acc9-ccfd-442c-857f-0c41a30745e5,14,Live Chess,Chess.com,2024.05.11,-,FirejFox,fronnie,0-1,1779,,1755,,,,fronnie,1755,FirejFox,1779,-24,,fronnie wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
3b56533c-8924-4930-8cf3-7ae1bb906f75,15,Live Chess,Chess.com,2024.05.11,-,FirejFox,JZAPALApl,0-1,1769,,1720,,,,JZAPALApl,1720,FirejFox,1769,-49,,JZAPALApl wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
5cfd0d68-97ad-4470-9b7c-4b2308cad63c,16,Live Chess,Chess.com,2024.05.11,-,zakes10,FirejFox,1-0,1826,,1762,,,,zakes10,1826,FirejFox,1762,64,,zakes10 wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
653aa856-8ef2-4d6e-b5f2-5b527e892b86,17,Live Chess,Chess.com,2024.05.11,-,FirejFox,iro1968,0-1,1753,,1735,,,,iro1968,1735,FirejFox,1753,-18,,iro1968 wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
0808186a-d107-4b37-9ad1-9b32873a7490,18,Live Chess,Chess.com,2024.05.11,-,AstritBr62,FirejFox,0-1,1767,,1762,,,,FirejFox,1762,AstritBr62,1767,-5,,FirejFox wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
2ada8d42-c79e-4769-a214-8c0f75a2e1ce,19,Live Chess,Chess.com,2024.05.12,-,FirejFox,mz9876,1-0,1769,,1721,,,,FirejFox,1769,mz9876,1721,48,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
c148a459-68bb-4af6-8cd5-6617b1d415c1,20,Live Chess,Chess.com,2024.05.12,-,thegamerfrost,FirejFox,0-1,1730,,1776,,,,FirejFox,1776,thegamerfrost,1730,46,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
fe9ffb27-f829-4021-abe1-a5fda9c20790,21,Live Chess,Chess.com,2024.05.17,-,FirejFox,kencek888,1/2-1/2,1776,,1761,,,,draw,,draw,,0,,Remis przez powtórzenie pozycji,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
f2b19117-348d-4955-ad7e-a715eaa7dfbc,22,Live Chess,Chess.com,2024.05.17,-,FirejFox,kartiknarula15,0-1,1769,,1843,,,,kartiknarula15,1843,FirejFox,1769,74,,kartiknarula15 wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
96604f16-14a7-4ea3-9880-3ba798a721ef,23,Live Chess,Chess.com,2024.05.17,-,Obanai_1guro,FirejFox,0-1,1817,,1778,,,,FirejFox,1778,Obanai_1guro,1817,-39,,FirejFox wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
7ea7adc0-825f-4d9e-b6ac-238d10364e35,24,Live Chess,Chess.com,2024.05.18,-,FirejFox,GiacomoGiulianelli,0-1,1769,,1757,,,,GiacomoGiulianelli,1757,FirejFox,1769,-12,,GiacomoGiulianelli wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
41c0059b-6d25-4d52-941f-e408ce4ef5f2,25,Live Chess,Chess.com,2024.05.18,-,Aren19,FirejFox,1-0,1836,,1762,,,,Aren19,1836,FirejFox,1762,74,,Aren19 wygrał na czas,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
86d4a273-8072-4fa1-9abe-95cee3f056dc,26,Live Chess,Chess.com,2024.05.18,-,amiteshag,FirejFox,1-0,1730,,1753,,,,amiteshag,1730,FirejFox,1753,-23,,amiteshag wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
8a426bb5-dd84-460e-84d8-770279163712,27,Live Chess,Chess.com,2024.05.18,-,BMWe46_AK,FirejFox,1-0,1780,,1745,,,,BMWe46_AK,1780,FirejFox,1745,35,,BMWe46_AK wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
7d49d881-62f2-40d5-b45b-943ccc7e8196,28,Live Chess,Chess.com,2024.05.18,-,FirejFox,GBMAR,1-0,1753,,1722,,,,FirejFox,1753,GBMAR,1722,31,,FirejFox wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
81392d6e-4ce4-4469-a234-cfe77fd21246,29,Live Chess,Chess.com,2024.05.18,-,arnolddelosreyes,FirejFox,0-1,1719,,1760,,,,FirejFox,1760,arnolddelosreyes,1719,41,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
0f8dc047-0b3e-40ff-b65c-616be086809f,30,Live Chess,Chess.com,2024.05.18,-,FirejFox,razvanz75,1-0,1769,,1780,,,,FirejFox,1769,razvanz75,1780,-11,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
3e4219f5-cb64-44c1-b848-eb3c1168d8d6,31,Live Chess,Chess.com,2024.05.19,-,FirejFox,mohamedrabeea,0-1,1760,,1744,,,,mohamedrabeea,1744,FirejFox,1760,-16,,mohamedrabeea wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
7b89a8fd-0b45-4b34-8cc2-eabeb5c74371,32,Live Chess,Chess.com,2024.05.19,-,maxxiemax,FirejFox,0-1,1776,,1769,,,,FirejFox,1769,maxxiemax,1776,-7,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
d8e75f66-9570-4d7a-91fe-9428a63c7f1b,33,Live Chess,Chess.com,2024.05.19,-,Phenomnifemi,FirejFox,0-1,1736,,1776,,,,FirejFox,1776,Phenomnifemi,1736,40,,FirejFox wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
21389cba-d7ce-4196-851a-29856483e013,34,Live Chess,Chess.com,2024.05.19,-,FirejFox,RakeshKng,0-1,1769,,1817,,,,RakeshKng,1817,FirejFox,1769,48,,RakeshKng wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
8161f148-5a34-45dd-aaea-77fd17868b6b,35,Live Chess,Chess.com,2024.05.19,-,FirejFox,benjie2,0-1,1760,,1742,,,,benjie2,1742,FirejFox,1760,-18,,benjie2 wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
38177f5a-9bb1-4875-bde4-e1d8ebc33714,36,Live Chess,Chess.com,2024.05.19,-,yousifGm444,FirejFox,0-1,1756,,1768,,,,FirejFox,1768,yousifGm444,1756,12,,FirejFox wygrał - partia porzucona,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
0630ebd7-eae9-42ec-9a1a-e6efff2e5039,37,Live Chess,Chess.com,2024.05.19,-,FirejFox,snakybook5,0-1,1761,,1820,,,,snakybook5,1820,FirejFox,1761,59,,snakybook5 wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
d3917f8c-fb5f-4e82-9550-f904ff81c699,38,Live Chess,Chess.com,2024.05.24,-,al-gaddafi,FirejFox,0-1,1793,,1770,,,,FirejFox,1770,al-gaddafi,1793,-23,,FirejFox wygrał na czas,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
770d3492-f1af-4328-a06a-b85d94483ba7,39,Live Chess,Chess.com,2024.05.28,-,FirejFox,Farstriker,0-1,1762,,1787,,,,Farstriker,1787,FirejFox,1762,25,,Farstriker wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
64d2d27d-9a0a-48fc-afa5-f42d9bd00465,40,Live Chess,Chess.com,2024.05.28,-,FirejFox,Mparviz7,1-0,1769,,1709,,,,FirejFox,1769,Mparviz7,1709,60,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
e50a0ee0-a633-4bde-9371-6bf6ceddf8d2,41,Live Chess,Chess.com,2024.05.29,-,Goverdhanwasave,FirejFox,0-1,1747,,1777,,,,FirejFox,1777,Goverdhanwasave,1747,30,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
83c7b58a-1cb1-497f-a63e-76cb1ef527dd,42,Live Chess,Chess.com,2024.05.29,-,kamalsarkar2021,FirejFox,1-0,1813,,1770,,,,kamalsarkar2021,1813,FirejFox,1770,43,,kamalsarkar2021 wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
a2ebb4f2-3c21-40b1-b168-b03d5af8ec03,43,Live Chess,Chess.com,2024.05.29,-,FirejFox,hanymohmed,1-0,1778,,1748,,,,FirejFox,1778,hanymohmed,1748,30,,FirejFox wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
567f0e79-a05f-477c-b2e5-a8bd02900599,44,Live Chess,Chess.com,2024.05.29,-,DoninoD1922,FirejFox,1-0,1765,,1769,,,,DoninoD1922,1765,FirejFox,1769,-4,,DoninoD1922 wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
15d4d38a-22c8-4ed8-a46e-2ff35658ccf2,45,Live Chess,Chess.com,2024.05.29,-,FirejFox,plg31,0-1,1761,,1777,,,,plg31,1777,FirejFox,1761,16,,plg31 wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
0397ca51-97e2-4fe7-8ae3-b00b513432ce,46,Live Chess,Chess.com,2024.05.29,-,FirejFox,gnawedknight,0-1,1752,,1734,,,,gnawedknight,1734,FirejFox,1752,-18,,gnawedknight wygrywa (mat),600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
5c41f64d-5dff-4829-bc76-0d6806689fc3,47,Live Chess,Chess.com,2024.06.03,-,Kourosh666,FirejFox,0-1,1778,,1761,,,,FirejFox,1761,Kourosh666,1778,-17,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
8ad8afe6-3b69-4560-95f0-537b40705e64,48,Live Chess,Chess.com,2024.06.03,-,Ingora,FirejFox,0-1,1686,,1767,,,,FirejFox,1767,Ingora,1686,81,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
b37f7179-cf86-4e80-ae30-ac0917f0d2ad,49,Live Chess,Chess.com,2024.06.03,-,FirejFox,casusheel,1-0,1775,,1776,,,,FirejFox,1775,casusheel,1776,-1,,FirejFox wygrał przez poddanie partii,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
019a5617-8936-4c95-9cca-ec100a80d6e8,50,Live Chess,Chess.com,2024.06.03,-,Peksi93,FirejFox,1-0,1800,,1767,,,,Peksi93,1800,FirejFox,1767,33,,Peksi93 wygrał na czas,600,,,,,2025-12-12T13:07:58+0000,chess_com_games_2025-12-12 (1).pgn
